Country,Life.expectancy,Infant.deaths,Out.of.pocket.health.expenditure,Year,Southasia.life.expectancy.avg
,,,,Year 2001,55.25621951
,,,,Year 2001,65.79034146
,,,,Year 2001,61.0447561
,,,,Year 2001,62.55663415
,,,,Year 2001,70.51185366
,,,,Year 2001,62.62360976
,,,,Year 2001,64.16092683
,,,,Year 2001,71.90095122
Afghanistan,60.93141463,70849,73.79183017,Year 2013,60.93141463
Bangladesh,70.69339024,104701,60.22875689,Year 2013,70.69339024
Bhutan,68.30231707,442,25.40925931,Year 2013,68.30231707
India,66.4562439,1053387,58.21276755,Year 2013,66.4562439
Maldives,77.93536585,67,37.48426221,Year 2013,77.93536585
Nepal,68.40385366,18075,46.15477025,Year 2013,68.40385366
Pakistan,66.58536585,316025,54.87402852,Year 2013,66.58536585
Sri Lanka,74.24029268,3144,46.53754527,Year 2013,74.24029268
