Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
China,23.32640567,22.60021221,25.13333351,29.5560886,33.9517253,37.08125479,39.13380833,38.41398138,34.97950937,26.71271302,30.6145489,31.35917811,0
United States,11.04376288,10.04211493,9.471020377,9.38742752,10.00355999,10.38736738,11.04810545,11.90176052,12.98798112,11.42154076,12.79110088,13.96943561,0
India,12.82483055,12.38143764,14.04991736,14.70893768,17.55133614,19.28014883,21.0694752,20.43089434,23.60124526,20.04962324,21.9387319,23.88478795,23.82827609
Brazil,9.978193817,12.18144648,14.09662327,14.98687019,16.42509216,15.12835081,14.36845084,13.36438031,13.6631968,10.9789949,10.87158512,11.88916767,13.00293954
Mexico,30.93905966,27.5590038,26.82257791,25.35489778,26.60531815,27.10142825,27.96842042,27.9275866,28.04789633,27.60698732,30.31928851,31.55051972,33.63729041
United Kingdom,27.71307934,27.28619644,26.26120743,25.84216379,25.52569797,26.95979283,29.11937604,26.918128,29.81197573,28.83027799,30.5396473,32.48752497,31.68596108
Argentina,10.88546513,11.52861113,27.68967572,24.97119469,25.25746664,25.06793268,24.75944683,24.62654689,24.47541308,21.35117391,21.70646878,21.82342782,19.12325056
Japan,10.8773781,10.4488202,11.25283734,11.87275335,13.21033508,14.31265541,16.17160101,17.74676437,17.71116378,12.6956669,15.17099226,15.14765953,0
Indonesia,40.97730855,39.03213345,32.68762116,30.47765573,32.2166932,34.06726688,31.03471631,29.43571849,29.80828417,24.15911952,24.58058328,26.34264903,31.58508536
Pakistan,13.44132462,14.65953961,15.2236172,16.71896741,15.6668995,15.68949543,15.22981476,14.19346254,12.84804936,12.85914448,13.57410503,14.15537215,12.46913653
Germany,33.38461538,34.78900043,35.67066879,35.71967404,38.54989297,41.31765869,45.51363499,47.16532839,48.15223543,42.3895557,47.00504767,50.17395665,51.60918236
Afghanistan,0,0,32.38671874,43.55686929,33.99649426,27.39525557,26.47029264,17.82371428,17.9929747,14.70758895,10.02384975,8.844619517,0
Vietnam,55.03253818,54.61224311,56.80005546,59.29401771,65.73625031,69.35907656,73.60505242,76.8951181,77.92245047,68.30046008,77.53067523,86.96014517,89.76701673
Turkey,20.09787216,27.44088247,25.21730969,22.99463311,23.55155834,21.85537621,22.66990662,22.32324128,23.90791797,23.3164288,21.20914139,23.74722112,24.40882349
Malaysia,119.8097087,110.4024914,108.3053028,106.9434461,115.3733377,112.8989768,112.1854808,106.1685755,99.49957724,91.41679187,93.74532254,91.55842829,87.46826775
"Egypt, Arab Rep.",16.20111732,17.47978812,18.31617826,21.7964072,28.2299607,30.343547,29.94981389,30.24973147,33.04299274,24.95682211,21.34924581,23.22619997,21.00168772
South Africa,27.8709062,30.12753668,32.92328541,27.88013237,26.42246408,27.38042954,30.00602007,31.47657581,35.88076145,27.31016152,27.36445454,29.28300187,28.25695401
Canada,45.5785327,43.54170577,41.56326844,38.12088116,38.42107791,37.80885034,36.13301112,34.95827964,35.11716845,28.74632518,29.43060726,30.43458251,0
Russian Federation,44.06072054,36.89342099,35.24933157,35.24998177,34.41789105,35.20306596,33.73047544,30.16406048,31.30956033,27.9381012,29.21556079,30.3758599,29.27212004
Australia,19.39604584,22.06763381,20.63334163,18.91449504,17.03979014,18.1119017,19.69349768,20.0124065,19.89354398,22.63410543,19.587794,21.17847008,21.42533575
