year,volume
2000,23.32640567
2001,22.60021221
2002,25.13333351
2003,29.5560886
2004,33.9517253
2005,37.08125479
2006,39.13380833
2007,38.41398138
2008,34.97950937
2009,26.71271302
2010,30.6145489
2011,31.35917811
2012,0
2000,11.04376288
2001,10.04211493
2002,9.471020377
2003,9.38742752
2004,10.00355999
2005,10.38736738
2006,11.04810545
2007,11.90176052
2008,12.98798112
2009,11.42154076
2010,12.79110088
2011,13.96943561
2012,0
2000,12.82483055
2001,12.38143764
2002,14.04991736
2003,14.70893768
2004,17.55133614
2005,19.28014883
2006,21.0694752
2007,20.43089434
2008,23.60124526
2009,20.04962324
2010,21.9387319
2011,23.88478795
2012,23.82827609
2000,9.978193817
2001,12.18144648
2002,14.09662327
2003,14.98687019
2004,16.42509216
2005,15.12835081
2006,14.36845084
2007,13.36438031
2008,13.6631968
2009,10.9789949
2010,10.87158512
2011,11.88916767
2012,13.00293954
2000,30.93905966
2001,27.5590038
2002,26.82257791
2003,25.35489778
2004,26.60531815
2005,27.10142825
2006,27.96842042
2007,27.9275866
2008,28.04789633
2009,27.60698732
2010,30.31928851
2011,31.55051972
2012,33.63729041
2000,27.71307934
2001,27.28619644
2002,26.26120743
2003,25.84216379
2004,25.52569797
2005,26.95979283
2006,29.11937604
2007,26.918128
2008,29.81197573
2009,28.83027799
2010,30.5396473
2011,32.48752497
2012,31.68596108
2000,10.88546513
2001,11.52861113
2002,27.68967572
2003,24.97119469
2004,25.25746664
2005,25.06793268
2006,24.75944683
2007,24.62654689
2008,24.47541308
2009,21.35117391
2010,21.70646878
2011,21.82342782
2012,19.12325056
2000,10.8773781
2001,10.4488202
2002,11.25283734
2003,11.87275335
2004,13.21033508
2005,14.31265541
2006,16.17160101
2007,17.74676437
2008,17.71116378
2009,12.6956669
2010,15.17099226
2011,15.14765953
2012,0
2000,40.97730855
2001,39.03213345
2002,32.68762116
2003,30.47765573
2004,32.2166932
2005,34.06726688
2006,31.03471631
2007,29.43571849
2008,29.80828417
2009,24.15911952
2010,24.58058328
2011,26.34264903
2012,31.58508536
2000,13.44132462
2001,14.65953961
2002,15.2236172
2003,16.71896741
2004,15.6668995
2005,15.68949543
2006,15.22981476
2007,14.19346254
2008,12.84804936
2009,12.85914448
2010,13.57410503
2011,14.15537215
2012,12.46913653
2000,33.38461538
2001,34.78900043
2002,35.67066879
2003,35.71967404
2004,38.54989297
2005,41.31765869
2006,45.51363499
2007,47.16532839
2008,48.15223543
2009,42.3895557
2010,47.00504767
2011,50.17395665
2012,51.60918236
2000,0
2001,0
2002,32.38671874
2003,43.55686929
2004,33.99649426
2005,27.39525557
2006,26.47029264
2007,17.82371428
2008,17.9929747
2009,14.70758895
2010,10.02384975
2011,8.844619517
2012,0
2000,55.03253818
2001,54.61224311
2002,56.80005546
2003,59.29401771
2004,65.73625031
2005,69.35907656
2006,73.60505242
2007,76.8951181
2008,77.92245047
2009,68.30046008
2010,77.53067523
2011,86.96014517
2012,89.76701673
2000,20.09787216
2001,27.44088247
2002,25.21730969
2003,22.99463311
2004,23.55155834
2005,21.85537621
2006,22.66990662
2007,22.32324128
2008,23.90791797
2009,23.3164288
2010,21.20914139
2011,23.74722112
2012,24.40882349
2000,119.8097087
2001,110.4024914
2002,108.3053028
2003,106.9434461
2004,115.3733377
2005,112.8989768
2006,112.1854808
2007,106.1685755
2008,99.49957724
2009,91.41679187
2010,93.74532254
2011,91.55842829
2012,87.46826775
2000,16.20111732
2001,17.47978812
2002,18.31617826
2003,21.7964072
2004,28.2299607
2005,30.343547
2006,29.94981389
2007,30.24973147
2008,33.04299274
2009,24.95682211
2010,21.34924581
2011,23.22619997
2012,21.00168772
2000,27.8709062
2001,30.12753668
2002,32.92328541
2003,27.88013237
2004,26.42246408
2005,27.38042954
2006,30.00602007
2007,31.47657581
2008,35.88076145
2009,27.31016152
2010,27.36445454
2011,29.28300187
2012,28.25695401
2000,45.5785327
2001,43.54170577
2002,41.56326844
2003,38.12088116
2004,38.42107791
2005,37.80885034
2006,36.13301112
2007,34.95827964
2008,35.11716845
2009,28.74632518
2010,29.43060726
2011,30.43458251
2012,0
2000,44.06072054
2001,36.89342099
2002,35.24933157
2003,35.24998177
2004,34.41789105
2005,35.20306596
2006,33.73047544
2007,30.16406048
2008,31.30956033
2009,27.9381012
2010,29.21556079
2011,30.3758599
2012,29.27212004
2000,19.39604584
2001,22.06763381
2002,20.63334163
2003,18.91449504
2004,17.03979014
2005,18.1119017
2006,19.69349768
2007,20.0124065
2008,19.89354398
2009,22.63410543
2010,19.587794
2011,21.17847008
2012,21.42533575
